name,grade,board_angle,moonboard_year,setter,start_holds,middle_holds,end_holds,rules,is_benchmark
DZIKI Z FABRYKI „TROPIKI”,6A+,40°,2017,Arkadiusz Dziki-Sereda,"G4,H5,","I7,D9,G10,E13,E16,","H18,",Feet follow hands,FALSE
WAKING UP IN SAND,6A+,40°,2017,Dylan Garey,"I2,D5,","H9,I8,G13,K3,D15,","A18,",Feet follow hands,FALSE
WORKLIFE,6A+,40°,2017,RustyFerret26,"D5,H5,","I8,D10,G6,C16,G13,H11,A11,","F18,",Feet follow hands + screw ons,FALSE
PICKLE RICK,6A+,25°,2017,#dirtygirlchronicles,"F5,","G7,H10,E13,E16,","D18,",Feet follow hands,FALSE
SMALL BEAR,6A+,40°,2017,Tfoote,"F5,H5,","F8,H10,F12,G13,D15,C16,B10,","B18,",Feet follow hands,FALSE
FIRST HOLDS,6A+,40°,2017,Patrick117,"F6,I3,","G11,G13,D15,I8,","F18,",Feet follow hands + screw ons,FALSE
A-Z,6A+,40°,2017,DCairns,"D5,H5,","F9,J11,H14,J16,","I18,",Feet follow hands,FALSE
BJ,6A+,40°,2017,hyobong an,"H5,E3,","H10,F12,D15,E16,F8,","F18,",Feet follow hands,FALSE
最简单的,6A+,40°,2017,takuya,"H5,F5,","I8,H10,E13,E1,I1,G13,F12,H15,E16,F9,","H18,F18,",Feet follow hands,FALSE
BUMP THE PINCH,6A+,40°,2017,Nate Lun,"D5,G4,","G10,F12,D15,G8,","F18,",Feet follow hands,FALSE
T3,6A+,40°,2017,Revs2k,"E3,H5,","F8,J11,E13,","F18,",Feet follow hands,FALSE
HALF A LAP,6A+,40°,2017,Julia,"F5,","C13,F14,E16,C7,A11,I7,B7,C10,H10,H5,G16,J16,","J18,",Feet follow hands + screw ons,FALSE
BLACKLIGHT ASCENT,6A+,40°,2017,JK,"F5,","G8,G10,G13,F12,D15,","H18,",Feet follow hands,FALSE
PRETENDING TO BE BAD,6A+,40°,2017,Mini Monster,"B4,D5,","B8,E11,B13,C16,","A18,",Feet follow hands,FALSE
